Time,Open,High,Low,Last,Change,%Chg,Volume
"11/26/2024 13:20",599.71,600.025,599.602,599.93,0.17,+0.03%,115898
"11/26/2024 13:15",599.91,600.05,599.6201,599.76,-0.14,-0.02%,133819
"11/26/2024 13:10",599.94,599.96,599.6601,599.9,-0.03,-0.01%,110062
"11/26/2024 13:05",600.01,600.1399,599.91,599.93,-0.0821,-0.01%,90732
"11/26/2024 13:00",600.07,600.11,599.94,600.0121,-0.0629,-0.01%,105594
"11/26/2024 12:55",599.93,600.1299,599.87,600.075,0.1151,+0.02%,188435
"11/26/2024 12:50",599.77,599.96,599.76,599.9599,0.2098,+0.03%,109333
"11/26/2024 12:45",599.8151,599.83,599.7,599.7501,-0.0499,-0.01%,93976
"11/26/2024 12:40",599.7,599.87,599.635,599.8,0.1001,+0.02%,113516
"11/26/2024 12:35",599.66,599.7,599.53,599.6999,0.0399,+0.01%,76638
"11/26/2024 12:30",599.35,599.66,599.3,599.66,0.325,+0.05%,136560
"11/26/2024 12:25",599.13,599.34,599.07,599.335,0.195,+0.03%,104425
"11/26/2024 12:20",599.28,599.35,599.12,599.14,-0.12,-0.02%,59400
"11/26/2024 12:15",599.24,599.3413,599.13,599.26,0.02,0.00%,112461
"11/26/2024 12:10",599.57,599.59,599.22,599.24,-0.335,-0.06%,145546
"11/26/2024 12:05",599.375,599.65,599.16,599.575,0.205,+0.03%,188906
"11/26/2024 12:00",599.74,599.77,599.2905,599.37,-0.38,-0.06%,104059
"11/26/2024 11:55",599.82,599.87,599.53,599.75,-0.06,-0.01%,174856
"11/26/2024 11:50",599.4349,599.82,599.43,599.81,0.36,+0.06%,232697
"11/26/2024 11:45",599.52,599.6799,599.35,599.45,-0.07,-0.01%,126397
"11/26/2024 11:40",599.8294,599.8294,599.38,599.52,-0.3,-0.05%,188246
"11/26/2024 11:35",599.6,599.83,599.4871,599.82,0.25,+0.04%,113540
"11/26/2024 11:30",599.565,599.72,599.42,599.57,0.01,0.00%,313817
"11/26/2024 11:25",599.35,599.58,599.2699,599.56,0.21,+0.04%,141455
"11/26/2024 11:20",599.15,599.6,599.11,599.35,0.2,+0.03%,162087
"11/26/2024 11:15",599.03,599.2,598.87,599.15,0.12,+0.02%,189567
"11/26/2024 11:10",599.17,599.31,598.885,599.03,-0.15,-0.03%,175593
"11/26/2024 11:05",599.46,599.48,599.13,599.18,-0.28,-0.05%,218121
"11/26/2024 11:00",599.11,599.55,599.1,599.46,0.41,+0.07%,216977
"11/26/2024 10:55",599.1,599.41,599,599.05,-0.07,-0.01%,187545
"11/26/2024 10:50",599.035,599.17,598.77,599.12,0.085,+0.01%,185885
"11/26/2024 10:45",599.29,599.335,598.7914,599.035,-0.2817,-0.05%,213971
"11/26/2024 10:40",598.67,599.33,598.51,599.3167,0.6667,+0.11%,203622
"11/26/2024 10:35",598.3781,598.77,598.22,598.65,0.28,+0.05%,169247
"11/26/2024 10:30",598.8,598.96,598.37,598.37,-0.445,-0.07%,205474
"11/26/2024 10:25",598.39,598.92,598.07,598.815,0.445,+0.07%,274321
"11/26/2024 10:20",598.22,598.75,598.2,598.37,0.16,+0.03%,309384
"11/26/2024 10:15",598.74,598.84,598.12,598.21,-0.5253,-0.09%,295463
"11/26/2024 10:10",598.51,598.87,598.25,598.7353,0.1853,+0.03%,276258
"11/26/2024 10:05",598.8,598.9,598.46,598.55,-0.2225,-0.04%,328051
"11/26/2024 10:00",598.96,599.43,598.21,598.7725,-0.2475,-0.04%,403793
"11/26/2024 09:55",598.86,599.08,598.73,599.02,0.12,+0.02%,214969
"11/26/2024 09:50",599.35,599.61,598.82,598.9,-0.44,-0.07%,322594
"11/26/2024 09:45",598.77,599.34,598.7497,599.34,0.59,+0.10%,338101
"11/26/2024 09:40",598.85,599.11,598.5,598.75,-0.09,-0.02%,450050
"11/26/2024 09:35",599.3,599.48,598.7701,598.84,-0.46,-0.08%,611756
"11/26/2024 09:30",598.8,599.41,598.6,599.3,1.77,+0.30%,1451978
"11/25/2024 15:55",597.582,597.745,597.32,597.53,-0.0526,-0.01%,4613171
"11/25/2024 15:50",596.98,597.7,596.85,597.5826,0.5926,+0.10%,962822
"11/25/2024 15:45",597.12,597.2,596.87,596.99,-0.12,-0.02%,413264
"11/25/2024 15:40",597.14,597.37,597.05,597.11,-0.05,-0.01%,308383
"11/25/2024 15:35",597.16,597.28,597.11,597.16,-0.01,0.00%,302521
"11/25/2024 15:30",597.13,597.26,597.045,597.17,0.03,+0.01%,184253
"11/25/2024 15:25",597.02,597.1691,596.99,597.14,0.1127,+0.02%,207210
"11/25/2024 15:20",597.13,597.14,596.85,597.0273,-0.0827,-0.01%,202601
"11/25/2024 15:15",596.84,597.15,596.8001,597.11,0.275,+0.05%,138416
"11/25/2024 15:10",596.98,597.07,596.7246,596.835,-0.145,-0.02%,176657
"11/25/2024 15:05",596.85,597.02,596.67,596.98,0.13,+0.02%,221824
"11/25/2024 15:00",597.085,597.09,596.68,596.85,-0.24,-0.04%,169932
"11/25/2024 14:55",597.1,597.21,597.0079,597.09,-0.015,0.00%,156159
"11/25/2024 14:50",597.33,597.45,597.1,597.105,-0.2143,-0.04%,179147
"11/25/2024 14:45",597.1633,597.4001,597.05,597.3193,0.1493,+0.03%,109429
"11/25/2024 14:40",596.78,597.2,596.7759,597.17,0.39,+0.07%,102142
"11/25/2024 14:35",596.75,596.92,596.705,596.78,0.04,+0.01%,88867
"11/25/2024 14:30",596.98,597,596.66,596.74,-0.25,-0.04%,131608
"11/25/2024 14:25",596.81,597.0464,596.75,596.99,0.19,+0.03%,168609
"11/25/2024 14:20",597.36,597.37,596.49,596.8,-0.565,-0.09%,278456
"11/25/2024 14:15",597.3701,597.435,597.28,597.365,-0.005,0.00%,77016
"11/25/2024 14:10",597.39,597.43,597.32,597.37,-0.03,-0.01%,114530
"11/25/2024 14:05",597.13,597.4,596.9601,597.4,0.275,+0.05%,235285
"11/25/2024 14:00",597.31,597.34,597.12,597.125,-0.195,-0.03%,118814
"11/25/2024 13:55",597.07,597.41,597.06,597.32,0.25,+0.04%,131983
"11/25/2024 13:50",597.29,597.43,597.06,597.07,-0.21,-0.04%,137452
"11/25/2024 13:45",597.22,597.61,597.2,597.28,0.0799,+0.01%,190729
"11/25/2024 13:40",597.49,597.59,597.13,597.2001,-0.2799,-0.05%,162800
"11/25/2024 13:35",597.5,597.54,597.28,597.48,-0.04,-0.01%,112720
"11/25/2024 13:30",597.18,597.54,596.94,597.52,0.3697,+0.06%,131500
